percent,training_samples_after,training_samples_before,f1_macro_mean,f1_macro_std,f1_macro_UT2,f1_macro_UT3,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_UT2,balanced_accuracy_UT3,Sampler,Seed
0.005,4370,4370,0.9075919442446638,0.06558090048664394,0.911869918699187,0.6798185046360229,0.8550000000000001,0.09539392014169457,0.9061309317630759,0.7189123657776237,EditedNearestNeighbours(n_neighbors=7),31
0.01,4392,4392,0.9669957878410631,0.02294507983466523,0.9036105738233398,0.7535275792560014,0.9402777777777779,0.03967460238079361,0.8964322826463457,0.7670592310356772,EditedNearestNeighbours(n_neighbors=7),31
0.03,4479,4479,0.9917702469086926,0.010079347893557562,0.8464879436872847,0.6549074397485155,0.9846153846153847,0.01884222879063982,0.8224800831312782,0.657776238309664,EditedNearestNeighbours(n_neighbors=7),31
0.05,4566,4566,0.9951183891743621,0.0024415526593109314,0.8322944493915109,0.6561912894961571,0.9908033826638478,0.004599827213960801,0.8042951160374091,0.6513682022861101,EditedNearestNeighbours(n_neighbors=7),31
0.1,4783,4783,0.9967956446529886,0.002872210999355209,0.8571001494768311,0.7084459459459459,0.9942261427425823,0.005170462144071949,0.8344302043643921,0.7010737790093522,EditedNearestNeighbours(n_neighbors=7),31
0.25,5432,5436,0.9982766959889527,0.001402094637549181,0.8456119753448782,0.7155453951665578,0.9979307602239261,0.00112546045343272,0.8178039487357118,0.6983027364045722,EditedNearestNeighbours(n_neighbors=7),31
0.5,6517,6523,0.9991371682953055,0.0007719473976669148,0.8471037930020582,0.7018705512332395,0.9989653849714959,0.0010534079813263554,0.8198822306892968,0.6880845167994458,EditedNearestNeighbours(n_neighbors=7),31
1.0,8687,8698,0.9995400975392442,0.0004302877146804156,0.8526191180822729,0.7149486244613855,0.9995402298850575,0.0004300755616981412,0.827502597852442,0.7021129199861448,EditedNearestNeighbours(n_neighbors=7),31
0.005,4370,4370,0.878905639165481,0.08003311840831395,0.911869918699187,0.6798185046360229,0.8298850574712644,0.10304583277230259,0.9061309317630759,0.7189123657776237,EditedNearestNeighbours(n_neighbors=9),31
0.01,4392,4392,0.968781436067831,0.01999878863248966,0.9036105738233398,0.7535275792560014,0.9430555555555555,0.0352460487234709,0.8964322826463457,0.7670592310356772,EditedNearestNeighbours(n_neighbors=9),31
0.03,4479,4479,0.9959635548647949,0.0049436154779960466,0.8464879436872847,0.6549074397485155,0.9923076923076923,0.009421114395319882,0.8224800831312782,0.657776238309664,EditedNearestNeighbours(n_neighbors=9),31
0.05,4566,4566,0.9963256991999672,0.004887712483924387,0.8322944493915109,0.6561912894961571,0.9931289640591967,0.009117910635453622,0.8042951160374091,0.6513682022861101,EditedNearestNeighbours(n_neighbors=9),31
0.1,4783,4783,0.9968159138729333,0.0020200811938896417,0.8571001494768311,0.7084459459459459,0.9942528735632183,0.0036348019082395122,0.8344302043643921,0.7010737790093522,EditedNearestNeighbours(n_neighbors=9),31
0.25,5431,5436,0.9988465180270227,0.0010803674985308482,0.8485562757807896,0.7144736842105263,0.998158795924407,0.0017237062064303342,0.8219605126428818,0.6993418773813647,EditedNearestNeighbours(n_neighbors=9),31
0.5,6515,6523,0.9993100802498545,0.0006451841398737275,0.843306510607169,0.7062673866797579,0.9991954022988505,0.0006896551724137722,0.8145133356425356,0.6891236577762383,EditedNearestNeighbours(n_neighbors=9),31
1.0,8683,8698,0.9996549734385095,0.000460035700550332,0.8540091892693049,0.7166804979253112,0.9996549078740262,0.0004602331308109901,0.8294076896432283,0.7043643921025287,EditedNearestNeighbours(n_neighbors=9),31
0.005,4370,4370,0.8952111236405734,0.11550017852497955,0.9319442110569652,0.683785462828743,0.8550000000000001,0.14696938456699069,0.9298579840665051,0.7355386214063042,TomekLinks(),31
0.01,4392,4392,0.9679971884012872,0.02000071859844387,0.9187684245004913,0.7503312511830399,0.9416666666666667,0.03530073618649678,0.9140976792518185,0.7715621752684447,TomekLinks(),31
0.03,4479,4479,0.9959634888058485,0.0049436963844552055,0.8429530201342282,0.6626443716600586,0.9923076923076923,0.009421114395319882,0.817630758572913,0.6610668514028404,TomekLinks(),31
0.05,4566,4566,0.9962703282143636,0.004984613011657348,0.8150196477950807,0.6497512437810945,0.9930232558139535,0.009302325581395366,0.779875303082785,0.6342223761690335,TomekLinks(),31
0.1,4783,4783,0.9974513476166115,0.001274393440529705,0.8584269662921349,0.7134897855816309,0.9953889334402565,0.0023056785514940356,0.8363352961551784,0.7060962937305162,TomekLinks(),31
0.25,5436,5436,0.9985591311412938,0.0012897087647400448,0.8582512682781259,0.7117845117845117,0.9977021942248342,0.002056177281149831,0.8354693453411846,0.7034984412885348,TomekLinks(),31
0.5,6523,6523,0.9994822616383882,0.0006904008441427086,0.8472283487722394,0.6952903977367283,0.9993103448275862,0.0009195402298850297,0.8200554208520956,0.6828888119154832,TomekLinks(),31
1.0,8698,8698,0.999655106240952,0.00028160460087292593,0.8558277654046028,0.7239609206822322,0.999655172413793,0.00028155054514748324,0.8318323519224108,0.7112919986144787,TomekLinks(),31
0.005,8695,4370,0.9888313845760655,0.02233723084786918,0.9359494081401005,0.8330072914814156,0.9800000000000001,0.03999999999999999,0.9315898856944925,0.8373744371319709,"ADASYN(n_neighbors=3, random_state=31)",31
0.01,8699,4392,0.9737198267026604,0.0264394249027088,0.9044186775305547,0.7890543817111189,0.9637739463601533,0.04929526394314966,0.8943540006927606,0.7890543817111189,"ADASYN(n_neighbors=3, random_state=31)",31
0.03,8695,4479,0.9941629989300746,0.0076948603899359615,0.8393480791618161,0.7083400809716599,0.9959239610963749,0.007590430791186834,0.8087980602701768,0.6880845167994458,"ADASYN(n_neighbors=3, random_state=31)",31
0.05,8707,4566,0.9963784213564247,0.004796004450133917,0.8424127355046006,0.7114290359291172,0.9952867488031882,0.005773364936655695,0.8131278143401455,0.6925874610322134,"ADASYN(n_neighbors=3, random_state=31)",31
